# KEGG facts behind kegg_predicates.tsv, generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	symbols	name	brite	modules
K25757	DIPK2	divergent protein kinase domain 2		
K25759	iaaF	benzylmalonyl-CoA dehydrogenase [EC:1.3.3.17]		
K25760	iaaB	indoleacetate---CoA ligase [EC:6.2.1.75]		
K25761	iaaL	phenylsuccinyl-CoA transferase [EC:2.8.3.28]		
K25762	NAT9	tubulin N-terminal N-acetyltransferase [EC:2.3.1.308]		
K25763	ctsY	isomaltosyltransferase [EC:2.4.1.387]		
K25764	E2.4.1.388	glucosylgalactose phosphorylase [EC:2.4.1.388]		
K25765	avrRxo1	NAD+ 3'-kinase [EC:2.7.1.236]		
K25766	E3.2.1.216	kojibiose hydrolase [EC:3.2.1.216]		
K25767	nag31	exo-acting protein-alpha-N-acetylgalactosaminidase [EC:3.2.1.217]		
K25770	ZSWIM7, SWS1	zinc finger SWIM domain-containing protein 7	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Shu complex and associated proteins	
K25771	SWSAP1	ATPase SWSAP1	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Shu complex and associated proteins	
K25772	PAXX	protein PAXX	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > Other NHEJ factors	
K25774	K25774	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]		M00374,M00375
K25775	casG	steroid-24-oyl-CoA synthetase [EC:6.2.1.-]		
K25776	casI	steroid-22-oyl-CoA synthetase [EC:6.2.1.-]		
K25778	ZDHHC9	palmitoyltransferase ZDHHC9 [EC:2.3.1.225]		
K25779	HSD17B11	hydroxysteroid 17beta dehydrogenase 11 [EC:1.1.1.-]		
K25783	BZIP17_28_49	bZIP transcription factor 17/28/49	ko03000:Eukaryotic type > Basic leucine zipper (bZIP) > Plant bZIP factors	
K25784	BZIP9_10_25_63	bZIP transcription factor 9/10/25/63	ko03000:Eukaryotic type > Basic leucine zipper (bZIP) > Plant bZIP factors	
K25785	BZIP19_23_24	bZIP transcription factor 19/23/24	ko03000:Eukaryotic type > Basic leucine zipper (bZIP) > Plant bZIP factors	
K25786	BZIP1S	bZIP transcription factor 1/2/11/44/53	ko03000:Eukaryotic type > Basic leucine zipper (bZIP) > Plant bZIP factors	
K25787	HSD17B13	hydroxysteroid 17beta dehydrogenase 13 [EC:1.1.-.-]		
K25790	EMSY	BRCA2-interacting transcriptional repressor EMSY	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors	
K25791	HSF2BP	heat shock factor 2-binding protein	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors	
K25792	JMJD8	jumonji domain-containing protein 8	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > Other NHEJ factors	
K25793	NUPR2, NUPR1L	nuclear protein 2	ko03000:Eukaryotic type > Other transcription factors > NUPR	
K25794	HINFP	histone H4 transcription factor	ko03000:Eukaryotic type > Zinc finger > Cys2His2 others	
K25795	INSM	insulinoma-associated protein	ko03000:Eukaryotic type > Zinc finger > Cys2His2 Snail	
K25796	YAB	plant-specific transcription factor YABBY family protein	ko03000:Eukaryotic type > Basic helix-loop-helix (bHLH) > Yabby	
K25801	SDH4	succinate dehydrogenase (ubiquinone) subunit 4		M00009+,M00011+,M00148+
K25802	ATF7IP, MCAF	activating transcription factor 7-interacting protein		
K25803	MALSU1	mitochondrial assembly of ribosomal large subunit protein 1		
K25814	manP	mannose PTS system EIIBCA component [EC:2.7.1.191]	ko02000:Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Mannose-specific II component	
K25815	SUB1	activated RNA polymerase II transcriptional coactivator p15	ko03021:Eukaryotic type > RNA polymerase II system > Coactivators > Others	
K25816	CCAR2, DBC1	cell cycle and apoptosis regulator protein 2	ko03021:Eukaryotic type > RNA polymerase II system > Other transcription-related factors > DBIRD complex	
K25817	MAF1	repressor of RNA polymerase III transcription MAF1	ko03021:Eukaryotic type > RNA polymerase III system > Other transcription-related factors > Others	
K25818	NOLC1	nucleolar and coiled-body phosphoprotein 1	ko03021:Eukaryotic type > RNA polymerase I system > Other transcription-related factors > Others	
K25819	ABCD1, PXA1	ATP-binding cassette, subfamily D (ALD), peroxisomal ABC transporter [EC:7.6.2.4]	ko02000:ABC transporters, eukaryotic type > ABCD (ALD) subfamily > Others	
K25820	icmA	isobutyryl-CoA mutase large subunit [EC:5.4.99.13]		
K25821	icmB	isobutyryl-CoA mutase small subunit [EC:5.4.99.13]		
K25822	pcmA	pivalyl-CoA mutase large subunit [EC:5.4.99.-]		
K25823	pcmB	pivalyl-CoA mutase small subunit [EC:5.4.99.-]		
K25824	ABHD16A	abhydrolase domain-containing protein 16A [EC:3.1.1.23 3.1.-.-]	ko01002:Serine peptidases > Family S9: prolyl oligopeptidase family	M00098
K25825	ABHD16B	abhydrolase domain-containing protein 16B [EC:3.-.-.-]	ko01002:Serine peptidases > Family S9: prolyl oligopeptidase family	
K25826	CBFB	core-binding factor subunit beta		
K25827	CCAR1	cell division cycle and apoptosis regulator protein 1	ko03021:Eukaryotic type > RNA polymerase II system > Coactivators > Others	
K25828	CALCOCO1	calcium-binding and coiled-coil domain-containing protein 1	ko03021:Eukaryotic type > RNA polymerase II system > Coactivators > Others	
K25829	ELOF1, ELF1	transcription elongation factor 1	ko03400:Eukaryotic type > SSBR (single strand breaks repair) > NER (nucleotide excision repair) > TCR (transcription coupled repair) factors > Other TCR factor	
K25840	AIRP2	E3 ubiquitin-protein ligase AIRP2 [EC:2.3.2.27]		
K25841	ALMT	aluminum-activated malate transporter family protein	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K25842	mlnB	macrolactin polyketide synthase MlnB		
K25843	mlnC	macrolactin polyketide synthase MlnC		
K25844	mlnD	macrolactin polyketide synthase MlnD		
K25845	mlnE	macrolactin polyketide synthase MlnE		
K25846	mlnF	macrolactin polyketide synthase MlnF		
K25847	mlnG	macrolactin polyketide synthase MlnG		
K25848	mlnH	macrolactin polyketide synthase MlnH		
K25849	dfnD	difficidin synthase DfnD		
K25850	dfnE	difficidin synthase DfnE		
K25851	dfnF	difficidin synthase DfnF		
K25852	dfnG	difficidin synthase DfnG		
K25853	dfnH	difficidin synthase DfnH		
K25854	dfnI	difficidin synthase DfnI		
K25855	dfnJ	difficidin synthase DfnJ		
K25856	ARID3	AT-rich interactive domain-containing protein 3	ko03000:Eukaryotic type > Helix-turn-helix > ARID	
K25857	ARID5	AT-rich interactive domain-containing protein 5	ko03000:Eukaryotic type > Helix-turn-helix > ARID	
K25858	ZNF410	zinc finger protein 410	ko03000:Eukaryotic type > Zinc finger > Cys2His2 others	
K25859	acrZ	accessory protein, multidrug efflux pump	ko02000:Other transporters > Accessory factors involved in transport [TC:8]	
K25860	PACC1	proton-activated chloride channel	ko02000:Other transporters > Pores ion channels [TC:1]	
K25861	ZRANB3	DNA annealing helicase and endonuclease ZRANB3 [EC:5.6.2.- 3.1.-.-]	ko03032:Eukaryotic type > DNA Replication Elongation Factors > Other elongation factors|ko03400:Eukaryotic type > Other factors with a suspected DNA repair function > Nucleases	
K25863	CYBC1	cytochrome b-245 chaperone 1	ko03110:Other chaperones and cochaperones > Others	
K25867	TPPP	tubulin polymerization-promoting protein [EC:3.6.5.-]		
K25869	IDD1_2	zinc finger protein IDD1/2	ko03000:Eukaryotic type > Zinc finger > Cys2His2 others	
K25870	IDD3S	zinc finger protein IDD3/4/5/6/7/8/9/10/11/12/13	ko03000:Eukaryotic type > Zinc finger > Cys2His2 others	
K25871	IDD14_15_16	zinc finger protein IDD14/15/16	ko03000:Eukaryotic type > Zinc finger > Cys2His2 others	
K25873	raiR	LuxR family transcriptional regulator, quorum-sensing system regulator RaiR	ko03000:Prokaryotic type > Helix-turn-helix > LuxR family	
K25874	KIRREL, NEPH	Kirrel/Neph family protein		
K25875	wcaA	putative colanic acid biosynthesis glycosyltransferase WcaA		
K25876	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase [EC:2.1.1.-]		
K25877	MYG1	MYG1 exonuclease [EC:3.1.-.-]		
K25879	LXRA	L-xylulose reductase [EC:1.1.1.10]		
K25880	LADA	L-arabinitol 4-dehydrogenase [EC:1.1.1.12]		
K25881	LARA	L-arabinose reductase [EC:1.1.1.-]		
K25882	syrM	LysR family transcriptional regulator, transcriptional activator of nodD3 and syrA	ko03000:Prokaryotic type > Helix-turn-helix > LysR family	
K25883	expG, wggR	MarR family transcriptional regulator, exopolysaccharide II synthesis transcriptional activator	ko03000:Prokaryotic type > Helix-turn-helix > MarR family	
K25884	mucR, rosR	MucR family transcriptional regulator, transcriptional regulator of exopolysaccharide biosynthesis	ko03000:Prokaryotic type > Other transcription factors > Others	
K25885	exoR	exopolysaccharide production negative regulator	ko03000:Prokaryotic type > Other transcription factors > Others	
K25886	vpsK	polysaccharide biosynthesis protein VpsK	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K25887	aceA	undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31]		
K25888	aceB	beta-1,4-glucosyltransferase [EC:2.4.1.-]		
K25889	aceQ	glucosyltransferase		
K25890	aceP	beta-1,6-glucosyltransferase		
K25894	SPP	stromal processing peptidase, chloroplastic [EC:3.4.24.-]	ko01002:Metallo peptidases > Family M16: pitrilysin family	
K25895	DEGP1	protease Do-like 1, chloroplastic [EC:3.4.21.-]	ko01002:Serine peptidases > Family S1: chymotrypsin family	
K25896	DEGP2	protease Do-like 2, chloroplastic [EC:3.4.21.-]	ko01002:Serine peptidases > Family S1: chymotrypsin family	
K25897	DEGP9	protease Do-like 9 [EC:3.4.21.-]	ko01002:Serine peptidases > Family S1: chymotrypsin family	
K25898	CRSP	CO(2)-response secreted protease	ko01002:Serine peptidases > Family S8: subtilisin family	
K25899	GCP1, RDL1	germination-specific cysteine protease 1 [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C1: papain family	
K25900	RD21	cysteine proteinase RD21 [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C1: papain family	
K25901	qsuD	quinate/shikimate dehydrogenase (NAD+) [EC:1.1.1.24]		
K25902	pssA	acidic exopolysaccharide biosynthesis protein PssA		
K25905	pssC	exopolysaccharide biosynthesis glycosyltransferase PssC		
K25906	pssS	exopolysaccharide biosynthesis glucosyltransferase PssS [EC:2.4.1.-]		
K25907	pssF	exopolysaccharide biosynthesis glycosyltransferase PssF		
K25908	pssI	exopolysaccharide biosynthesis glycosyltransferase PssI		
K25909	pssG	exopolysaccharide biosynthesis glycosyltransferase PssG		
K25910	pssH	exopolysaccharide biosynthesis glycosyltransferase PssH		
K25911	pssJ	exopolysaccharide biosynthesis galactosyltransferase PssJ		
K25913	pssK	exopolysaccharide biosynthesis protein PssK		
K25915	mtvA	[methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.385]		
K25916	mtvB, mtoB	methoxylated aromatic compound---corrinoid protein Co-methyltransferase [EC:2.1.1.382]		
K25917	mtoA	[methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein]---tetrahydromethanopterin methyltransferase [EC:2.1.1.384]		
K25919	E2.4.1.389	solabiose phosphorylase [EC:2.4.1.389]		
K25920	E2.5.1.155	phosphoglycerol geranylfarnesyltransferase [EC:2.5.1.155]		
K25921	E2.5.1.156	geranylfarnesylglycerol-phosphate geranylfarnesyltransferase [EC:2.5.1.156]		
K25922	3C	Hepatitis A virus protease 3C [EC:3.4.22.28]	ko01002:Cysteine peptidases > Family C3: picornain family	
K25923	nsP2	Alphavirus protease nsP2 [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C9	
K25924	nsP3	Alphacoronavirus papain-like proteinase 1/2 [EC:3.4.19.12 3.4.22.-]	ko01002:Cysteine peptidases > Family C16	
K25925	p150	Rubella virus protease/methyltransferase p150 [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C27	
K25926	nsp5	Alphacoronavirus 3C-like proteinase [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C30	
K25927	I7L	Poxviridae core protease I7 [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C57: vaccinia virus I7 peptidase family	
K25929	C	Alphavirus capsid protein [EC:3.4.21.90]	ko01002:Serine peptidases > Family S3: togavirin family	
K25930	assemblin	Herpesviridae assemblin [EC:3.4.21.97]	ko01002:Serine peptidases > Family S21: assemblin family	
K25932	ppcA	phenyl-phosphate phosphatase/carboxylase subunit alpha [EC:4.1.1.123]		
K25933	ppcB	phenyl-phosphate phosphatase/carboxylase subunit beta [EC:4.1.1.123]		
K25934	ppcC	phenyl-phosphate phosphatase/carboxylase subunit gamma [EC:4.1.1.123]		
K25935	ppcD	phenyl-phosphate phosphatase/carboxylase subunit delta [EC:4.1.1.123]		
K25936	ppsA	phenol phosphorylase subunit alpha [EC:2.7.1.238]		
K25937	ppsB	phenol phosphorylase subunit beta [EC:2.7.1.238]		
K25938	ppsC	phenol phosphorylase subunit delta gamma [EC:2.7.1.238]		
K25939	BDH2	4-oxoproline reductase [EC:1.1.1.104]		
K25944	F13L	Poxviridae envelope phospholipase F13 [EC:3.1.1.-]		
K25945	A16L	Poxviridae virion membrane protein A16		
K25950	amdH	secondary-alkyl amine dehydrogenase [NAD(P)+] [EC:1.4.1.28]		
K25951	K25951	fructosyl amine oxidase (glucosone-forming) [EC:1.5.3.25]		
K25952	socD	fructosyl amine oxidase (glucosone-forming) [EC:1.5.3.25]		
K25953	E1.14.14.183	taxoid 2alpha-hydroxylase [EC:1.14.14.183]		
K25955	A14.5L	Poxviridae virion membrane protein A14.5		
K25956	A13L	Poxviridae virion membrane protein A13		
K25957	cpsG	stewartan biosynthesis glycosyltransferase CpsG		
K25958	cpsF	stewartan biosynthesis galactosyltransferase CpsF		
K25959	CYP85A3	brassinosteroid 6-oxygenase / brassinolide synthase [EC:1.14.14.179 1.14.14.180]		M00371
K25960	etfA	N,N-dimethylglycine/sarcosine catabolism electron transfer flavoprotein subunit alpha		M00975+
K25961	etfB	N,N-dimethylglycine/sarcosine catabolism electron transfer flavoprotein subunit beta		M00975+
K25962	A9L	Poxviridae virion membrane protein A9		
K25965	E10R	Poxviridae probable FAD-linked sulfhydryl oxidase [EC:1.8.3.2]		
K25969	A14L	Poxviridae virion membrane protein A14		
K25970	A17L	Poxviridae virion membrane protein A17		
K25978	G1L	Poxviridae metalloendopeptidase G1 [EC:3.4.24.-]	ko01002:Metallo peptidases > Family M44	
K25985	sarD, tauF	sulfoacetaldehyde reductase (NADH) [EC:1.1.1.433]		M01052
K25986	ydcJ	2-oxoadipate dioxygenase/decarboxylase [EC:1.13.11.93]		M00960
K25987	scoE, mmaE	(R)-3-[(carboxymethyl)amino]fatty acid dioxygenase/decarboxylase [EC:1.14.11.78]		
K25988	TOP1, H6R	Poxviridae DNA topoisomerase 1B [EC:5.6.2.1]		
K25989	VETFL, A7L	Poxviridae early transcription factor large subunit		
K25990	VETFS, D6R	Poxviridae early transcription factor small subunit [EC:5.6.2.-]		
K25991	D1R	Poxviridae mRNA-capping enzyme catalytic subunit [EC:3.1.3.33 2.7.7.50 2.1.1.56]		
K25994	H1L	Poxviridae dual specificity protein phosphatase H1 [EC:3.1.3.48 3.1.3.-]		
K25995	frdB, fdrB	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12]		
K25996	frdC, fdrC	succinate dehydrogenase subunit C		
K25998	HDH	hyoscyamine dehydrogenase		
K26005	sauT	sulfoacetate-CoA ligase [EC:6.2.1.-]		
K26006	MMADHC	cobalamin trafficking protein CblD		
K26012	L3	Adenoviridae endopeptidase [EC:3.4.22.39]	ko01002:Cysteine peptidases > Family C5	
K26021	UL37	Herpesviridae inner tegument protein [EC:3.5.1.- 3.5.1.44]		
K26029	gp5	Straboviridae pre-baseplate central spike protein Gp5 [EC:3.2.1.17]		
K26030	CD	Straboviridae deoxycytidylate deaminase [EC:3.5.4.12]		
K26031	E	Straboviridae endolysin [EC:3.2.1.17]		
K26032	nrdD	Straboviridae anaerobic ribonucleoside-triphosphate reductase [EC:1.1.98.6]		
K26033	alt	Straboviridae NAD(+)--arginine ADP-ribosyltransferase [EC:2.4.2.31]		
K26034	modA	Straboviridae NAD--protein ADP-ribosyltransferase ModA [EC:2.4.2.31]		
K26035	modB	Straboviridae NAD--protein ADP-ribosyltransferase ModB [EC:2.4.2.31]		
K26036	pseT	Straboviridae polynucleotide kinase [EC:2.7.1.78 3.1.3.34]		
K26037	CYP76AD1	tyrosine hydroxylase / L-DOPA oxygenase [EC:1.14.-.-]		M00961
K26038	AMASY1	amaranthin synthetase [EC:2.4.1.-]		M00961
K26039	nrdA	Straboviridae ribonucleoside-diphosphate reductase subunit alpha [EC:1.17.4.1]		
K26040	gp39	Straboviridae DNA topoisomerase large subunit [EC:5.6.2.2]		
K26041	ITEVIR	Straboviridae intron-associated endonuclease 1 [EC:3.1.-.-]		
K26042	gp60	Escherichia phage DNA topoisomerase small subunit [EC:5.6.2.2]		
K26043	gp46	Straboviridae exonuclease subunit 2 [EC:3.1.11.-]		
K26044	bgt	Straboviridae DNA beta-glucosyltransferase [EC:2.4.1.27]		
K26045	gp52	Straboviridae DNA topoisomerase medium subunit [EC:5.6.2.2]		
K26046	gp4	Straboviridae/Kyanoviridae head completion nuclease [EC:3.1.-.-]		
K26047	TD	Straboviridae thymidylate synthase [EC:2.1.1.45]		
K26048	gp47	Straboviridae/Ackermannviridae/Kyanoviridae exonuclease subunit 1 [EC:3.1.11.-]		
K26049	dexA	Straboviridae exodeoxyribonuclease [EC:3.1.11.1]		
K26051	AFG2B, SPATA5L1	ATPase family gene 2 protein homolog B [EC:5.6.1.10]		
K26052	CINP	cyclin-dependent kinase 2-interacting protein	ko03032:Eukaryotic type > DNA Replication Initiation Factors > Other initiation factors	
K26054	THC1	tetrahymanol synthase [EC:4.2.1.123]		
K26055	scoD, mmaD	(3R)-3-[(carboxylmethyl)amino]fatty acid synthase [EC:4.3.2.11]		
K26057	smoB, squF	6-dehydroglucose reductase [EC:1.1.1.432]		M01051
K26058	smoC, squD	sulfoquinovose monooxygenase [EC:1.14.14.181]		M01051+
K26059	gtd1	glucoside 3-dehydrogenase (cytochrome c) catalytic subunit [EC:1.1.2.11]		
K26060	gtd2	glucoside 3-dehydrogenase (cytochrome c) hitch-hiker subunit		
K26061	amaB	L-aminoadipate-semialdehyde dehydrogenase		M00960
K26062	K26062	2-aminoadipate transaminase [EC:2.6.1.39]		M00960
K26063	ydiJ	(R)-2-hydroxyglutarate dehydrogenase [EC:1.1.-.-]		M00960
K26064	amaD	D-lysine oxidase		M00960
K26065	amaA	L-pipecolate oxidase		M00960
K26066	XYRB	D-xylose/L-arabinose reductase (NADPH) [EC:1.1.1.431 1.1.1.-]		
K26069	dznr	daidzein reductase [EC:1.3.1.-]		M00966
K26070	dhdr	dihydrodaidzein reductase [EC:1.1.1.-]		M00966
K26071	thdr	tetrahydrodaidzein reductase		M00966
K26072	wejN	O78-antigen biosynthesis glycosyltransferase	ko01005:O-antigen repeat unit	
K26073	wejO	O78-antigen biosynthesis glycosyltransferase	ko01005:O-antigen repeat unit	
K26074	wejQ	O78-antigen biosynthesis glycosyltransferase	ko01005:O-antigen repeat unit	
K26075	wckD	O104-antigen biosynthesis O-acyltransferase	ko01005:O-antigen repeat unit	
K26076	ZRANB2	zinc finger Ran-binding domain-containing protein 2		
K26077	ISE2, EMB25	ATP-dependent RNA helicase ISE2 [EC:5.6.2.6]		
K26078	xecD	2-(R)-hydroxypropyl-CoM dehydrogenase [EC:1.1.1.268]		
K26079	xecE	2-(S)-hydroxypropyl-CoM dehydrogenase [EC:1.1.1.269]		
K26080	E1.1.3.29	N-acylhexosamine oxidase [EC:1.1.3.29]		
K26081	carA	C-glycoside oxidase [EC:1.1.3.50]		
K26082	AOS	arachidonate 8-lipoxygenase / allene oxide synthase [EC:1.13.11.40 4.2.1.-]		
K26083	ibpA, pfhB2	protein adenylyltransferase / cysteine protease [EC:2.7.7.108 3.4.22.-]	ko01002:Cysteine peptidases > Family C58	
K26088	vopS	protein adenylyltransferase VopS [EC:2.7.7.108]		
K26089	ANKZF1, VMS1	ankyrin repeat and zinc finger domain-containing protein 1		
K26101	ZNF16, HZF1	zinc finger protein 16	ko03000:Eukaryotic type > Zinc finger > Cys2His2 others	
K26102	UL97	Cytomegalovirus serine/threonine protein kinase UL97 [EC:2.7.11.1]		
K26110	guaB1	GMP reductase [EC:1.7.1.7]		
K26113	lctD	lactate dehydrogenase (NAD+,ferredoxin) subunit LctD [EC:1.1.1.436]		
K26114	lctC	lactate dehydrogenase (NAD+,ferredoxin) subunit LctC		
K26115	lctB	lactate dehydrogenase (NAD+,ferredoxin) subunit LctB		
K26116	MTBP	Mdm2-binding protein	ko03032:Eukaryotic type > DNA Replication Initiation Factors > Other initiation factors	
K26117	TICRR	Treslin	ko03032:Eukaryotic type > DNA Replication Initiation Factors > Other initiation factors	
K26118	ATAD5	ATPase family AAA domain-containing protein 5	ko03032:Eukaryotic type > DNA Replication Elongation Factors > Other elongation factors	
K26119	MCIDAS	multicilin	ko03032:Eukaryotic type > DNA Replication Termination Factors > Prevention of re-replication factors	
K26122	MMS22	E3 ubiquitin-protein ligase substrate receptor MMS22	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors	
K26123	MMS1	E3 ubiquitin-protein ligase linker protein MMS1	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors	
K26124	RTT101, CUL8	cullin 8	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors	
K26125	MMS22L	protein MMS22-like	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors	
K26126	SLF1	SMC5-SMC6 complex localization factor protein 1	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > SMC5-SMC6 complex	
K26127	SLF2	SMC5-SMC6 complex localization factor protein 2	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > SMC5-SMC6 complex	
K26128	SHLD1	shieldin complex subunit 1	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > Other NHEJ factors	
K26129	SHLD2	shieldin complex subunit 2	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > Other NHEJ factors	
K26130	SHLD3	shieldin complex subunit 3	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > Other NHEJ factors	
K26131	L	Henipavirus RNA-directed RNA polymerase L [EC:2.7.7.48 3.6.1.- 2.7.7.88 2.1.1.375]		
K26132	L	Orthorubulavirus/Pararubulavirus RNA-directed RNA polymerase L [EC:2.7.7.48 3.6.1.- 2.7.7.88 2.1.1.375]		
K26133	L	Pneumoviridae RNA-directed RNA polymerase L [EC:2.7.7.48 3.6.1.- 2.7.7.88 2.1.1.375]		
K26134	L	Hantaviridae RNA-directed RNA polymerase L [EC:2.7.7.48 3.1.-.-]		
K26135	LEF-8	Baculoviridae probable DNA-directed RNA polymerase catalytic subunit [EC:2.7.7.6]		
K26138	nasE	nitrite reductase [NAD(P)H] small subunit [EC:1.7.1.4]		M00531+
K26139	nasD, nasB	nitrite reductase [NAD(P)H] large subunit [EC:1.7.1.4]		M00531+
K26140	nsP4	Alphavirus RNA-directed RNA polymerase nsP4 [EC:2.7.7.48]		
K26141	PM20D2	Xaa-Arg dipeptidase [EC:3.4.13.4]	ko01002:Metallo peptidases > Family M20	
K26142	NOPCHAP1	NOP protein chaperone 1		
K26143	ICE1	little elongation complex subunit 1	ko03021:Eukaryotic type > RNA polymerase II system > Other transcription-related factors > Little elongation complex (LEC)	
K26144	ICE2	little elongation complex subunit 2	ko03021:Eukaryotic type > RNA polymerase II system > Other transcription-related factors > Little elongation complex (LEC)	
K26145	ZSWIM1	zinc finger SWIM domain-containing protein 1		
K26146	ZSWIM4	zinc finger SWIM domain-containing protein 4		
K26147	ZSWIM5	zinc finger SWIM domain-containing protein 5		
K26148	K26148	c-di-GMP phosphodiesterase [EC:3.1.4.52]		
K26149	K26149	c-di-GMP phosphodiesterase [EC:3.1.4.52]		
K26150	UNC93B	MFS transporter, NAG-T family, unc-93 homolog B	ko02000:Major facilitator superfamily (MFS) > Sugar transporters > N-Acetylglucosamine transporter (NAG-T) family [TC:2.A.1.58]	
K26151	MFSD11	MFS transporter, NAG-T family, sugar:H+ symporter	ko02000:Major facilitator superfamily (MFS) > Sugar transporters > N-Acetylglucosamine transporter (NAG-T) family [TC:2.A.1.58]	
K26152	SLC25A51_52	solute carrier family 25 (mitochondrial nicotinamide adenine dinucleotide transporter), member 51/52	ko02000:Solute carrier family (SLC) > SLC25: Mitochondrial carrier	
K26153	OTOP	proton channel OTOP	ko02000:Other transporters > Pores ion channels [TC:1]	
K26155	CYREN, MRI	cell cycle regulator of non-homologous end joining	ko03400:Eukaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > Other NHEJ factors	
K26164	RIC3	protein RIC-3	ko03110:Other chaperones and cochaperones > Others	
K26167	BAZ2B	bromodomain adjacent to zinc finger domain protein 2B		
K26172	dgpA	puerarin oxidase		
K26175	ddrc	dihydrodaizein racemase [EC:5.1.-.-]		M00966
K26176	flr	flavone/flavonol reductase		M00967
K26177	chi	chalcone isomerase		
K26178	fcr	flavanone/flavanol-cleaving reductase		M00967
K26186	MTRES1	mitochondrial transcription rescue factor 1		
K26208	E2.7.1.239	alpha-D-ribose-1-phosphate 5-kinase (ATP) [EC:2.7.1.239]		M00968
K26209	K26209	glycolaldehyde reductase [EC:1.1.1.-]		
K26210	E3.1.3.109	ribulose-1,5-bisphosphate 5-phosphatase [EC:3.1.3.109]		M00968
K26211	K26211	guanosine phosphorylase [EC:2.4.2.15]		M00968
K26212	K26212	guanosine phosphorylase [EC:2.4.2.15]		M00968
K26213	FAMA	transcription factor FAMA	ko03000:Eukaryotic type > Basic helix-loop-helix (bHLH) > HLH domain only	
K26214	FIT	transcription factor FER-LIKE IRON	ko03000:Eukaryotic type > Basic helix-loop-helix (bHLH) > HLH domain only	
K26215	FOXR	forkhead box protein R	ko03000:Eukaryotic type > Helix-turn-helix > Fork head/winged helix other regulators	
K26216	AHSA1, AHA1	activator of Hsp90 ATPase protein 1	ko03110:Other chaperones and cochaperones > Others	
K26217	wbgX	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase		M01037
K26218	wbgV	UDP-GalNAcA 5-epimerase		
K26220	SLC35D4, TMEM241	solute carrier family 35 (UDP-N-acetylglucosamine transporter), member D4	ko02000:Solute carrier family (SLC) > SLC35: Nucleoside-sugar transporter	
K26221	GONST3	GDP-nucleotide sugar transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K26222	GALT1, GONST5	UDP-galactose transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
