# Pfam/GO/ENZYME facts behind pfam_predicates.tsv (generated).
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# accession	name	description	go_anchors	enzymes
PF08619	Nha1_C	Alkali metal cation/H+ antiporter Nha1 C terminus	GO:0005215,GO:0006810,GO:0006811,GO:0006814,GO:0015075,GO:0015081,GO:0015297,GO:0016020,GO:0022857,GO:0030001,GO:0046873	
PF08623	TIP120	TATA-binding protein interacting (TIP20)		
PF08626	TRAPPC9-Trs120	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit		
PF08629	PDE8	PDE8 phosphodiesterase		phosphodiesterase=3.1.4.1
PF08635	ox_reductase_C	Putative oxidoreductase C terminal domain		
PF08637	NCA2	ATP synthase regulation protein NCA2		atp synthase=7.1.2.2
PF08643	DUF1776	Fungal family of unknown function (DUF1776)		
PF08645	PNK3P	Polynucleotide kinase 3 phosphatase		
PF08646	Rep_fac-A_C	Replication factor-A C terminal domain		
PF08647	BRE1	BRE1 E3 ubiquitin ligase		
PF08652	RAI1	RAI1 like PD-(D/E)XK nuclease		
PF08659	KR	KR domain		
PF08660	Alg14	Oligosaccharide biosynthesis protein Alg14 like	GO:0009058	
PF08662	eIF2A	Eukaryotic translation initiation factor eIF2A		initiation factor=3.6.5.3
PF08668	HDOD	HDOD domain		
PF08669	GCV_T_C	Glycine cleavage T-protein C-terminal barrel domain		
PF08673	RsbU_N	Phosphoserine phosphatase RsbU, N-terminal domain		phosphoserine phosphatase=3.1.3.3
PF08674	AChE_tetra	Acetylcholinesterase tetramerisation domain		acetylcholinesterase=3.1.1.7
PF08675	RNA_bind	RNA binding domain	GO:0003723,GO:0003824,GO:0004518,GO:0004527,GO:0004540,GO:0005488,GO:0005737,GO:0016070,GO:0016787,GO:0016788,GO:0019222,GO:0046872,GO:0065007	
PF08676	MutL_C	MutL C terminal dimerisation domain	GO:0000166,GO:0005488,GO:0005524,GO:0006281,GO:0006298,GO:0006950	
PF08679	DsrD	Dissimilatory sulfite reductase D (DsrD)		dissimilatory sulfite reductase=1.8.1.22;sulfite reductase=1.8.1.2|1.8.7.1|1.8.98.3
PF08680	DUF1779	TATA-box binding		
PF08681	DUF1778	Protein of unknown function (DUF1778)		
PF08682	DUF1780	Putative endonuclease, protein of unknown function (DUF1780)		endonuclease=3.1.30.2
PF08683	CAMSAP_CKK	Microtubule-binding calmodulin-regulated spectrin-associated	GO:0005488,GO:0005515	
PF08686	PLAC	PLAC (protease and lacunin) domain		
PF08694	UFC1	Ubiquitin-fold modifier-conjugating enzyme 1	GO:0003824,GO:0016740,GO:0036211,GO:0043687	
PF08695	Coa1	Cytochrome oxidase complex assembly protein 1		cytochrome oxidase=7.1.1.9
PF08696	Dna2	DNA replication factor Dna2		
PF08701	GN3L_Grn1	GNL3L/Grn1 putative GTPase		
PF08704	GCD14	tRNA methyltransferase complex GCD14 subunit		methyltransferase=2.5.1.61;trna methyltransferase=2.1.1.33|2.1.1.34|2.1.1.61
PF08707	PriCT_2	Primase C terminal 2 (PriCT-2)	GO:0003824,GO:0016787	
PF08708	PriCT_1	Primase C terminal 1 (PriCT-1)		
PF08713	DNA_alkylation	DNA alkylation repair enzyme		
PF08715	CoV_peptidase	Coronavirus papain-like peptidase	GO:0003824,GO:0006508,GO:0008233,GO:0008234,GO:0016787	
PF08718	GLTP	Glycolipid transfer protein (GLTP)	GO:0005215,GO:0005737,GO:0006810	
PF08721	Tn7_Tnp_TnsA_C	TnsA endonuclease C terminal		endonuclease=3.1.30.2
PF08722	Tn7_TnsA-like_N	TnsA-like endonuclease N terminal		endonuclease=3.1.30.2
PF08726	EFhand_Ca_insen	Ca2+ insensitive EF hand		
PF08731	AFT	Transcription factor AFT	GO:0003700,GO:0006355,GO:0006879,GO:0006950,GO:0019222,GO:0030003,GO:0045893,GO:0065007,GO:0140110	
PF08735	DUF1786	Putative pyruvate format-lyase activating enzyme (DUF1786)		
PF08744	NOZZLE	Plant transcription factor NOZZLE	GO:0003700,GO:0140110	
PF08745	PIN_5	PINc domain ribonuclease		
PF08748	Phage_TAC_4	Phage tail assembly chaperone		
PF08753	NikR_C	NikR C terminal nickel binding domain		
PF08755	YccV-like	Hemimethylated DNA-binding protein YccV like	GO:0003677,GO:0005488	
PF08757	CotH	CotH kinase protein		
PF08759	GT-D	Glycosyltransferase GT-D fold		
PF08763	Ca_chan_IQ	Voltage gated calcium channel IQ domain		
PF08768	THAP4_heme-bd	THAP4-like, heme-binding beta-barrel domain		
PF08769	Spo0A_C	Sporulation initiation factor Spo0A C terminal	GO:0003700,GO:0005488,GO:0005509,GO:0005737,GO:0006355,GO:0019222,GO:0046872,GO:0065007,GO:0140110	initiation factor=3.6.5.3
PF08771	FRB_dom	FKBP12-rapamycin binding domain	GO:0005488	
PF08772	Zn_ribbon_NOB1	Nin one binding (NOB1) Zn-ribbon like		
PF08775	ParB	ParB family		
PF08777	RRM_3	RNA binding motif	GO:0003723,GO:0005488	
PF08780	NTase_sub_bind	Nucleotidyltransferase substrate binding protein like		
PF08781	DP	Transcription factor DP		
PF08782	c-SKI_SMAD_bind	c-SKI Smad4 binding domain	GO:0005488,GO:0005515	
PF08785	Ku_PK_bind	Ku C terminal domain like		
PF08787	Alginate_lyase2	Alginate lyase		
PF08790	zf-LYAR	LYAR-type C2HC zinc finger		
PF08792	A2L_zn_ribbon	A2L zinc ribbon domain		
PF08794	FHBP_C	Factor H binding protein, C-terminal		
PF08795	DUF1796	Putative papain-like cysteine peptidase (DUF1796)		
PF08796	DUF1797	Protein of unknown function (DUF1797)		
PF08798	CRISPR_assoc	CRISPR associated protein		
PF08803	ydhR	Putative mono-oxygenase ydhR		
PF08804	gp32	gp32 DNA binding protein like	GO:0003677,GO:0003697,GO:0005488	
PF08807	DUF1798	Bacterial domain of unknown function (DUF1798)		
PF08809	DUF1799	Phage related hypothetical protein (DUF1799)		
PF08811	DUF1800	Protein of unknown function (DUF1800)		
PF08813	Phage_tail_3	Phage tail tube protein, TTP		
PF08818	DUF1801	Domain of unknown function (DU1801)		
PF08819	DUF1802	Domain of unknown function (DUF1802)		
PF08820	DUF1803	Domain of unknown function (DUF1803)		
PF08822	DUF1804	Protein of unknown function (DUF1804)		
PF08823	PG_binding_2	Putative peptidoglycan binding domain		
PF08825	E2_bind	E2 binding domain	GO:0003824,GO:0008641,GO:0016874,GO:0036211,GO:0043687	
PF08827	DUF1805	Domain of unknown function (DUF1805)		
PF08830	DUF1806	Protein of unknown function (DUF1806)		
PF08833	Axin_b-cat_bind	Axin beta-catenin binding motif		
PF08837	DUF1810	Protein of unknown function (DUF1810)		
PF08838	DUF1811	Protein of unknown function (DUF1811)		
PF08840	BAAT_C	BAAT / Acyl-CoA thioester hydrolase C terminal		
PF08841	DDR	Diol dehydratase reactivase ATPase-like domain		
PF08842	Mfa2	Fimbrillin-A associated anchor proteins Mfa1 and Mfa2		
PF08843	AbiEii	Nucleotidyl transferase AbiEii toxin, Type IV TA system		
PF08844	DUF1815	Domain of unknown function (DUF1815)		
PF08845	SymE_toxin	Toxin SymE, type I toxin-antitoxin system	GO:0003723,GO:0003824,GO:0005488,GO:0005737,GO:0016070,GO:0016787,GO:0016788	
PF08846	DUF1816	Domain of unknown function (DUF1816)		
PF08848	DUF1818	Domain of unknown function (DUF1818)		
PF08850	DUF1820	Domain of unknown function (DUF1820)		
PF08852	DUF1822	Protein of unknown function (DUF1822)		
PF08853	DUF1823	Domain of unknown function (DUF1823)		
PF08854	DUF1824	Domain of unknown function (DUF1824)		
PF08855	DUF1825	Domain of unknown function (DUF1825)		
PF08856	DUF1826	Protein of unknown function (DUF1826)		
PF08857	ParBc_2	Putative ParB-like nuclease		
PF08860	DUF1827	Domain of unknown function (DUF1827)		
PF08861	DUF1828	Domain of unknown function DUF1828		
PF08862	DUF1829	Domain of unknown function DUF1829		
PF08865	DUF1830	Domain of unknown function (DUF1830)		
PF08866	DUF1831	Putative amino acid metabolism		
PF08873	Phage_Mu_Gp37	Bacteriophage Mu, Gp37		
PF08874	DUF1835	Domain of unknown function (DUF1835)		
PF08875	DUF1833	Domain of unknown function (DUF1833)		
PF08876	DUF1836	Domain of unknown function (DUF1836)		
PF08883	DOPA_dioxygen	Dopa 4,5-dioxygenase family		
PF08884	Flagellin_D3	Flagellin D3 domain		
PF08886	GshA	Glutamate-cysteine ligase		
PF08890	Phage_TAC_5	Phage XkdN-like tail assembly chaperone protein, TAC		
PF08893	DUF1839	Domain of unknown function (DUF1839)		
PF08894	DUF1838	Protein of unknown function (DUF1838)		
PF08895	DUF1840	Domain of unknown function (DUF1840)		
PF08896	DUF1842	Domain of unknown function (DUF1842)		
PF08897	DUF1841	Domain of unknown function (DUF1841)		
PF08898	DUF1843	Domain of unknown function (DUF1843)		
PF08899	DUF1844	Domain of unknown function (DUF1844)		
PF08900	AcaB	Transcriptional regulator AcaB		
PF08901	DUF1847	Protein of unknown function (DUF1847)		
PF08902	DUF1848	Domain of unknown function (DUF1848)		
PF08903	DUF1846	Domain of unknown function DUF1846, N-terminal		
PF08905	DUF1850	Domain of unknown function (DUF1850)		
PF08906	T6SS_Tdi1_C	T6SS immunity protein Tdi1, C-terminal		
PF08907	DUF1853	Domain of unknown function (DUF1853)		
PF08908	MesX	Putative oxygenase MesX		
PF08909	DUF1854	Domain of unknown function (DUF1854)		
PF08912	Rho_Binding	Rho Binding	GO:0005488,GO:0005515	
PF08913	VBS	Vinculin Binding Site		
PF08915	tRNA-Thr_ED	Archaea-specific editing domain of threonyl-tRNA synthetase	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0005737,GO:0008270,GO:0016874,GO:0046872	threonyl-trna synthetase=6.1.1.3
PF08919	F_actin_bind	F-actin binding	GO:0000166,GO:0003824,GO:0004713,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772,GO:0036211	
PF08921	DUF1904	Domain of unknown function (DUF1904)		
PF08922	DUF1905	Domain of unknown function (DUF1905)		
PF08923	MAPKK1_Int	Mitogen-activated protein kinase kinase 1 interacting	GO:0065007	mitogen-activated protein kinase=2.7.11.24;mitogen-activated protein kinase kinase=2.7.12.2;protein kinase=2.7.13.1|2.7.13.2|2.7.13.3
PF08925	DUF1907	Domain of Unknown Function (DUF1907)		
PF08926	DUF1908	Domain of unknown function (DUF1908)	GO:0000166,GO:0000287,GO:0003824,GO:0004674,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772,GO:0036211,GO:0046872	
PF08930	DUF1912	Domain of unknown function (DUF1912)		
PF08931	Caudo_bapla_RBP	Lactophage receptor-binding protein C-terminal head domain		
PF08933	PrnB	Monodechloroaminopyrrolnitrin synthase PrnB		
PF08937	ThsB_TIR	Thoeris protein ThsB, TIR-like domain		
PF08940	DUF1918	Domain of unknown function (DUF1918)		
PF08942	DUF1919	Domain of unknown function (DUF1919)		
PF08944	p47_phox_C	NADPH oxidase subunit p47Phox, C terminal domain		
PF08946	Osmo_CC	Osmosensory transporter coiled coil		
PF08950	DUF1861	Protein of unknown function (DUF1861)		
PF08952	DUF1866	Domain of unknown function (DUF1866)		
PF08953	DUF1899	Domain of unknown function (DUF1899)		
PF08956	DUF1869	Domain of unknown function (DUF1869)		
PF08958	DUF1871	Domain of unknown function (DUF1871)		
PF08961	NRBF2	Nuclear receptor-binding factor 2, autophagy regulator		
PF08963	DUF1878	Protein of unknown function (DUF1878)		
PF08965	DUF1870	Domain of unknown function (DUF1870)		
PF08966	DUF1882	Domain of unknown function (DUF1882)		
PF08968	DUF1885	Domain of unknown function (DUF1885)		
PF08972	DUF1902	Domain of unknown function (DUF1902)		
PF08973	TM1506	Domain of unknown function (DUF1893)		
PF08974	DUF1877	Domain of unknown function (DUF1877)		
PF08975	2H-phosphodiest	Domain of unknown function (DUF1868)		
PF08976	EF-hand_11	EF-hand domain		
PF08979	DUF1894	Domain of unknown function (DUF1894)		
PF08980	DUF1883	Domain of unknown function (DUF1883)		
PF08982	AtaL	Acetylaranotin biosynthesis cluster protein L		
PF08984	DUF1858	Domain of unknown function (DUF1858)		
PF08986	DUF1889	Domain of unknown function (DUF1889)		
PF08987	DUF1892	Protein of unknown function (DUF1892)		
PF08988	T3SS_needle_E	Type III secretion system, cytoplasmic E component of needle		
PF08989	DUF1896	Domain of unknown function (DUF1896)		
PF08990	Docking	Erythronolide synthase docking domain	GO:0003824,GO:0016740	erythronolide synthase=2.3.1.94
PF08992	QH-AmDH_gamma	Quinohemoprotein amine dehydrogenase, gamma subunit	GO:0003824,GO:0016491	amine dehydrogenase=1.4.1.28|1.4.9.1
PF08993	T4_Gp59_N	T4 gene Gp59 loader of gp41 DNA helicase		dna helicase=3.6.4.12
PF08994	T4_Gp59_C	T4 gene Gp59 loader of gp41 DNA helicase C-term		dna helicase=3.6.4.12
PF08996	zf-DNA_Pol	DNA Polymerase alpha zinc finger	GO:0003824,GO:0003887,GO:0006260,GO:0016740,GO:0016772,GO:0016779,GO:0034061	
PF08997	UCR_6-4kD	Ubiquinol-cytochrome C reductase complex, 6.4kD protein	GO:0006091,GO:0006119,GO:0009060,GO:0015980,GO:0019646,GO:0022900,GO:0045333	
PF08998	Epsilon_antitox	Bacterial epsilon antitoxin	GO:0005488,GO:0065007	
PF09001	DUF1890	Domain of unknown function (DUF1890)		
PF09002	Card1_endonuc	Card1-like, endonuclease domain		endonuclease=3.1.30.2
PF09003	Arm-DNA-bind_1	Bacteriophage lambda integrase, Arm DNA-binding domain	GO:0003677,GO:0003824,GO:0005488,GO:0008907,GO:0015074	
PF09005	FUBP_C	Far upstream element-binding protein, C-terminal	GO:0005488,GO:0006355,GO:0019222,GO:0065007	
PF09006	Surfac_D-trimer	Lung surfactant protein D coiled-coil trimerisation		
PF09008	Head_binding	Head binding		
PF09010	AsiA	Anti-Sigma Factor A	GO:0006355,GO:0019222,GO:0065007	
PF09012	FeoC	FeoC like transcriptional regulator		
PF09015	NgoMIV_restric	NgoMIV restriction enzyme	GO:0003824,GO:0004518,GO:0004519,GO:0004536,GO:0006304,GO:0006950,GO:0006952,GO:0009036,GO:0009307,GO:0015666,GO:0016787,GO:0016788,GO:0099046	
PF09017	Transglut_prok	Microbial transglutaminase	GO:0003824,GO:0016740	transglutaminase=2.3.2.13
PF09018	Phage_Capsid_P3	P3 major capsid protein		
PF09019	EcoRII-C	EcoRII C terminal	GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0004536,GO:0005488,GO:0006304,GO:0006950,GO:0006952,GO:0009036,GO:0009307,GO:0015666,GO:0016787,GO:0016788,GO:0099046	
PF09025	T3SS_needle_reg	YopR, type III needle-polymerisation regulator	GO:0006810,GO:0009306,GO:0015031,GO:0030254,GO:0030257,GO:0055085	
PF09027	GTPase_binding	GTPase binding		
PF09029	Preseq_ALAS	5-aminolevulinate synthase presequence	GO:0003824,GO:0005488,GO:0005737,GO:0016740,GO:0030170	5-aminolevulinate synthase=2.3.1.37
PF09030	Creb_binding	Creb binding	GO:0000785,GO:0003824,GO:0006355,GO:0008080,GO:0016407,GO:0016740,GO:0019222,GO:0065007,GO:0140110	
PF09037	Sulphotransf	Stf0 sulphotransferase		
PF09038	53-BP1_Tudor	Tumour suppressor p53-binding protein-1 Tudor		
PF09039	HTH_Tnp_Mu_2	Mu DNA binding, I gamma subdomain		
PF09040	H-K_ATPase_N	Gastric H+/K+-ATPase, N terminal domain	GO:0000166,GO:0000287,GO:0005215,GO:0005488,GO:0005524,GO:0006810,GO:0006811,GO:0015075,GO:0016020,GO:0022857,GO:0034220,GO:0042626,GO:0046872,GO:0046873,GO:0055085	
PF09041	Aurora-A_bind	Aurora-A binding		
PF09046	AvrPtoB-E3_ubiq	AvrPtoB E3 ubiquitin ligase		
PF09047	MEF2_binding	MEF2 binding		
PF09049	SNN_transmemb	Stannin transmembrane		
PF09055	Sod_Ni	Nickel-containing superoxide dismutase	GO:0003824,GO:0004784,GO:0005488,GO:0016151,GO:0016209,GO:0016491,GO:0046872	superoxide dismutase=1.15.1.1
PF09056	Phospholip_A2_3	Prokaryotic phospholipase A2		phospholipase a2=3.1.1.4
PF09062	Endonuc_subdom	PI-PfuI Endonuclease subdomain		endonuclease=3.1.30.2
PF09063	Phage_coat	Phage PP7 coat protein		
PF09067	EpoR_lig-bind	Erythropoietin receptor, ligand binding		
PF09068	EF-hand_2	EF hand		
PF09069	EF-hand_3	EF-hand		
PF09070	PFU	PFU (PLAA family ubiquitin binding)		
PF09071	Alpha-amyl_C	Alpha-amylase, C terminal		alpha-amylase=3.2.1.1
PF09077	Phage-MuB_C	Mu B transposition protein, C terminal	GO:0003677,GO:0005488,GO:0006310,GO:0006313,GO:0032196	protein c=3.4.21.69
PF09078	CheY-binding	CheY binding		
PF09079	Cdc6_C	CDC6, C terminal winged helix domain		
PF09081	AMT4_dom_C	Glucan 1,4-alpha-maltotetraohydrolase, domain C		
PF09082	DUF1922	Domain of unknown function (DUF1922)		
PF09083	DUF1923	Domain of unknown function (DUF1923)		
PF09084	NMT1	NMT1/THI5 like		
PF09086	DUF1924	Domain of unknown function (DUF1924)		
PF09089	gp12-short_mid	Phage short tail fibre protein gp12, middle domain	GO:0044423,GO:0098015,GO:0098024	
PF09092	Lyase_N	Lyase, N terminal		
PF09093	Lyase_catalyt	Lyase, catalytic		
PF09094	AmyA-A_glucT_m	Alpha-amylase/4-alpha-glucanotransferase, middle domain		
PF09095	AmyA-gluTrfs_C	Alpha-amylase/4-alpha-glucanotransferase, C-terminal	GO:0003824,GO:0005488,GO:0005975,GO:0030246	
PF09096	Phage-tail_2	Baseplate structural protein, domain 2	GO:0044423,GO:0098015,GO:0098025	
PF09097	Phage-tail_1	Baseplate structural protein, domain 1		
PF09098	Dehyd-heme_bind	Quinohemoprotein amine dehydrogenase A, alpha subunit, haem binding		amine dehydrogenase=1.4.1.28|1.4.9.1
PF09099	Qn_am_d_aIII	Quinohemoprotein amine dehydrogenase, alpha subunit domain III		amine dehydrogenase=1.4.1.28|1.4.9.1
PF09100	Qn_am_d_aIV	Quinohemoprotein amine dehydrogenase, alpha subunit domain IV		amine dehydrogenase=1.4.1.28|1.4.9.1
PF09101	Exotox-A_bind	Exotoxin A binding		
PF09103	BRCA-2_OB1	BRCA2, oligonucleotide/oligosaccharide-binding, domain 1	GO:0000724,GO:0000725,GO:0006281,GO:0006302,GO:0006310,GO:0006950	
PF09104	BRCA-2_OB3	BRCA2, oligonucleotide/oligosaccharide-binding, domain 3		
PF09105	SelB-wing_1	Elongation factor SelB, winged helix		elongation factor=3.6.5.3
PF09106	SelB-wing_2	Elongation factor SelB, winged helix	GO:0000166,GO:0001514,GO:0003723,GO:0003746,GO:0005488,GO:0005525,GO:0005737,GO:0006412,GO:0006414,GO:0009058,GO:0019001,GO:0019222,GO:0065007	elongation factor=3.6.5.3
PF09107	SelB-wing_3	Elongation factor SelB, winged helix	GO:0000166,GO:0001514,GO:0003723,GO:0003746,GO:0005488,GO:0005525,GO:0005737,GO:0006412,GO:0006414,GO:0009058,GO:0019001,GO:0019222,GO:0065007	elongation factor=3.6.5.3
PF09111	SLIDE	SLIDE	GO:0003677,GO:0005488,GO:0006325	
PF09114	MotA_activ	Transcription factor MotA, activation domain		
PF09115	DNApol3-delta_C	DNA polymerase III, delta subunit, C terminal	GO:0003677,GO:0003824,GO:0003887,GO:0005488,GO:0006260,GO:0009360,GO:0016740,GO:0016772,GO:0016779,GO:0034061	
PF09119	SicP-binding	SicP binding	GO:0005576	
PF09122	DUF1930	Domain of unknown function (DUF1930)		
PF09123	DUF1931	Domain of unknown function (DUF1931)		
PF09124	Endonuc-dimeris	T4 recombination endonuclease VII, dimerisation		endonuclease=3.1.30.2;endonuclease vii=3.1.21.10
PF09125	COX2-transmemb	Cytochrome C oxidase subunit II, transmembrane		
PF09126	NaeI	Restriction endonuclease NaeI	GO:0003824,GO:0004518,GO:0004519,GO:0004536,GO:0006304,GO:0006950,GO:0006952,GO:0009036,GO:0009307,GO:0015666,GO:0016787,GO:0016788,GO:0099046	endonuclease=3.1.30.2
PF09127	Leuk-A4-hydro_C	Leukotriene A4 hydrolase, C-terminal	GO:0003824,GO:0005488,GO:0008233,GO:0008270,GO:0016787,GO:0046872	leukotriene a4 hydrolase=3.3.2.6
PF09129	Chol_subst-bind	Cholesterol oxidase, substrate-binding		cholesterol oxidase=1.1.3.6
PF09130	DUF1932	Domain of unknown function (DUF1932)		
PF09134	Invasin_D3	Invasin, domain 3		
PF09136	Glucodextran_B	Glucodextranase, domain B		glucodextranase=3.2.1.70
PF09139	Tam41_Mmp37	Phosphatidate cytidylyltransferase, mitochondrial	GO:0003824,GO:0006629,GO:0006644,GO:0006650,GO:0008610,GO:0008654,GO:0009058,GO:0016740,GO:0016772,GO:0016779,GO:0046486	phosphatidate cytidylyltransferase=2.7.7.41
PF09140	MipZ	ATPase MipZ		
PF09142	TruB_C	tRNA Pseudouridine synthase II, C terminal	GO:0001522,GO:0003723,GO:0003824,GO:0005488,GO:0009982,GO:0016070,GO:0016853,GO:0016866	pseudouridine synthase=4.2.1.70;trna pseudouridine synthase=5.4.99.12|5.4.99.25|5.4.99.26|5.4.99.27|5.4.99.28|5.4.99.42|5.4.99.45
PF09147	CarA_N	Carbapenam-3-carboxylate synthase, N-terminal		carbapenam-3-carboxylate synthase=6.3.3.6
PF09148	DUF1934	Domain of unknown function (DUF1934)		
PF09149	DUF1935	Domain of unknown function (DUF1935)		
PF09151	DUF1936	Domain of unknown function (DUF1936)		
PF09152	DUF1937	Domain of unknown function (DUF1937)		
PF09153	MGMT_N	Methylated DNA-protein cysteine methyltransferase, N-terminal	GO:0005737	methyltransferase=2.5.1.61
PF09154	Alpha-amy_C_pro	Alpha-amylase C-terminal	GO:0003824,GO:0004553,GO:0016787,GO:0016798	alpha-amylase=3.2.1.1
PF09155	DUF1940	Domain of unknown function (DUF1940)		
PF09156	Anthrax-tox_M	Anthrax toxin lethal factor, middle domain		
PF09157	TruB-C_2	Pseudouridine synthase II TruB, C-terminal	GO:0001522,GO:0003723,GO:0003824,GO:0005488,GO:0009982,GO:0016070,GO:0016853,GO:0016866	pseudouridine synthase=4.2.1.70
PF09158	MotCF	Bacteriophage T4 MotA, C-terminal		
PF09159	Ydc2-catalyt	Mitochondrial resolvase Ydc2 / RNA splicing MRS1		
PF09160	FimH_man-bind	FimH, mannose binding		
PF09162	Tap-RNA_bind	Tap, RNA-binding	GO:0003723,GO:0005488,GO:0005737,GO:0006810,GO:0009058	
PF09163	Form-deh_trans	Formate dehydrogenase N, transmembrane		formate dehydrogenase=1.17.1.9|1.17.2.3|1.17.98.3|1.17.98.4|1.2.2.1;formate dehydrogenase n=1.17.5.3
PF09164	VitD-bind_III	Vitamin D binding protein, domain III		
PF09165	Ubiq-Cytc-red_N	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal	GO:0003824,GO:0005215,GO:0009055,GO:0015075,GO:0016491,GO:0022857	
PF09166	Biliv-reduc_cat	Biliverdin reductase, catalytic	GO:0003824,GO:0005488,GO:0008270,GO:0016491,GO:0046872	biliverdin reductase=1.3.1.24
PF09167	DUF1942	Domain of unknown function (DUF1942)	GO:0005576	
PF09168	PepX_N	X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal	GO:0003824,GO:0006508,GO:0008233,GO:0016787	aminopeptidase=3.4.11.15;x-prolyl dipeptidyl aminopeptidase=3.4.14.11
PF09171	AGOG	N-glycosylase/DNA lyase	GO:0003824,GO:0004518,GO:0004519,GO:0004536,GO:0016787,GO:0016798	
PF09173	eIF2_C	Initiation factor eIF2 gamma, C terminal		initiation factor=3.6.5.3
PF09176	Mpt_N	Methylene-tetrahydromethanopterin dehydrogenase, N-terminal		
PF09178	MGTA_C	4-alpha-glucanotransferase, C-terminal		4-alpha-glucanotransferase=2.4.1.25
PF09179	TilS	TilS substrate binding domain	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0005737,GO:0006396,GO:0008033,GO:0009058,GO:0016070,GO:0016874	
PF09180	ProRS-C_1	Prolyl-tRNA synthetase, C-terminal	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	prolyl-trna synthetase=6.1.1.15
PF09181	ProRS-C_2	Prolyl-tRNA synthetase, C-terminal	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	prolyl-trna synthetase=6.1.1.15
